unique_id,BuildNET ID,association_badges,State,Photo,District,Category,Sub Category,Name,Website,phone_number,Address,Location,Area,Pin Code,Rating Count,Review,Map Link,TAGS,PRODUCTS ,Email Id,PlusCode,latitude,latitude,Instagram Profile,Facebook Profile,Linkedin Profile,Twitter Profile,Images Folder
,,,,,Alappuzha,RMC,Ready mix concrete supplier,Marymatha Steel and Concrete,,0484 272 7600,"Kodinjoor, Ambalamugal, Ernakulam, Kerala 682302",Ernakulam,Kochi,682302,11,4.1,14219204729555819964,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,ACC LIMITED - RMX DIVISION,https://www.acclimited.com/,1800 103 3444,"Edayar Industrial area, Binanipuram, Edayar, Kochi, Kerala 683502",Kochi,Kerala,683502,24,4,10332536356209972967,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,SB Constructions RMC Plant,,,"XC72%2BGPX, Ambalamugal, Kochi, Kerala 682308",Kochi,Kerala,682308,2,4.5,9248505731766093141,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,MGS Associates,http://www.mgsassociates.in/,094975 53900,"Flat No 406, Travancore Twinkle, Ayyappan Kavu, Kannachanthodu Road(West), %2B914844070907, Kochi, Kerala 682018",Kochi,Ernakulam,682018,3,5,2222730700563108950,,,,,,,,,,,
,,,,,Alappuzha,RMC,Building materials supplier,CENTRAL AGENCIES,,090720 00007,"51/1139A, Church Rd, opp. SBI ATM, Thykoodam, Vyttila, Kochi, Ernakulam, Kerala 682019",Kochi,Ernakulam,682019,51,4.9,7067651805589153474,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,Idukki Ready-Mix Concrete,http://www.idukkirmc.com/,070340 00155,"SH44, Pareekanni, Kothamangalam, Kerala 686693",Kothamangalam,Kerala,686693,73,4.5,13396722738286763993,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,KLAR KONKRETE,http://www.klarkonkrete.com/,0485 282 2772,"27/8 Pius Gardens, Road, Ayroorpadam, Kothamangalam, Kerala 686692",Kothamangalam,Thrikkariyoor,686692,42,4.5,7054742383046891107,,,,,,,,,,,
,,,,,Alappuzha,RMC,Cement supplier,Maria Cements & Agencies,,094002 59496,"Chaprayil Arcade, SH15, near SBI ATM, Kochupally, Udayamperoor, Thrippunithura, Ernakulam, Kerala 682307",Ernakulam,Kerala,682307,2,4.5,420775707314842476,,,,,,,,,,,
,,,,,Alappuzha,RMC,Concrete product supplier,Ulcc rmc congreet,,,"V824%2B5WR, Chandiroor, Kerala 688537",Kerala,,688537,2,3.5,8669244433703348486,,,,,,,,,,,
,,,,,Alappuzha,RMC,Construction material wholesaler,Hella Infra Market Limited (Infra.Market) - Kochi,https://infra.market/?utm_source=Google&utm_medium=GMB,096063 50000,"2nd Floor, Manjooran Estate, Cheranalllur Rd, Bypass Junction, Ponekkara, Edappally, Kochi, Ernakulam, Kerala 682024",Kochi,Ernakulam,682024,2,5,11875340381616212030,,,,,,,,,,,
